Year	Plant	Electricity	So2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
85	269400	1100419.07453425	14426.1905753425	NA	87622615467.991	20115	3249438.08219178	8550.15155451507	2610.97940547945	0
86	269400	1094239.34788219	14200.2380821918	NA	23241703448.921	20135	3251564.21917808	7378.79890941918	3076.79973150685	0
87	269400	1087407.91591233	13935.4451780822	NA	27704680987.5378	20146	3208316.87671233	7417.73510950137	3764.74837808219	0
88	269400	1115921.37190137	14047.0837534247	NA	20510651430.3498	19893	3300144.38356164	7411.96790572055	3179.89775068493	0
89	269400	1155364.23106849	15019.2670410959	NA	19530162509.1059	19777	3415691.50684931	7334.24566374246	3824.28394794521	0
90	269400	1150050.70745205	14880.5189863014	NA	21634435663.9169	19432	3385277.26027397	6917.41933686575	5068.52584931507	92
91	269400	1116239.65780822	14454.004	NA	21071665302.1616	19247	3304013.69863014	7682.8228503452	5467.66929589041	92
92	269400	1140159.11950685	14550.7870684932	NA	31721240640.9555	18670	3342643.28767123	6365.89809865205	5299.76596986301	92
93	269400	1158483.96025205	13908.9281917808	NA	20943609144.7392	18513	3396487.94520548	7113.96772609315	5392.46744931507	92
94	269400	1135351.14168219	13402.3907945205	NA	23790207926.0016	17876	3336199.7260274	7965.86366170959	5661.81484109589	92
95	269400	1181261.05623288	10270.0198630137	NA	20398766121.0013	17040	3431375.34246575	6688.0987569863	5587.35968493151	92
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
